,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12,topic 13,topic 14,topic 15
0,0.7769366425779268,0.0016216488558863666,0.004354891877687597,0.06873895432126559,0.0031815559050749607,0.0018917481929219984,0.0019538265090430474,0.004820999506955224,0.0789734250395877,0.002234690499983953,0.002629163508638519,0.002302269593638252,0.003702772571001044,0.005130666821757406,0.04152674421863152
1,0.07393681138737138,0.006350415305765948,0.005197675505474902,0.34939390635177564,0.02449642752857883,0.002575437608929217,0.004336819273786293,0.013314040880457078,0.3271788314896449,0.006485950748169275,0.015064992126837283,0.0029498236128230296,0.08915679849812387,0.02026419168171557,0.059297878000546866
2,0.005988116895243784,0.0241457370490667,0.010259850979220797,0.06386629129297755,0.11246777546517303,0.008085634296887901,0.029913328552336468,0.0037338250278770263,0.09011537846157108,0.017418180314168072,0.005147762901157254,0.08780907111749912,0.004128625771426012,0.004206954497485676,0.5327134673779095
3,0.11111763801861288,0.016515201989437872,0.09003619869218586,0.028536057372557294,0.005887939963714627,0.009671198055937084,0.0680390233443947,0.24168012867448108,0.2510268757088488,0.028674119792790283,0.022282720836929667,0.009547326139071876,0.018979949522186287,0.009147843287453087,0.08885777860139868
4,0.11495348383226803,0.032432362551287314,0.0037090961728643832,0.4309033323153517,0.09083771895638654,0.007092249767686764,0.021915013790450532,0.014393485925507571,0.15438779488465382,0.004399293945181349,0.07691452367484641,0.005539988567772882,0.004505872685517498,0.012946491831333404,0.02506929109889177
5,0.04415359253374955,0.0035570155566147454,0.03454231142184708,0.3156041500949522,0.006390541493961543,0.008097977161961412,0.004257894054834962,0.017466524427738668,0.3002018087979055,0.06428586555848999,0.08801475207414791,0.09193856174797088,0.004823021610513499,0.006899899317255464,0.009766084148056695
6,0.1255411835054751,0.006816654032202982,0.005383255200797798,0.011650592042552303,0.24903823517011867,0.00951827838212343,0.0031501358769484844,0.3588759802931331,0.03268944939095406,0.006724276859733449,0.006724038707290092,0.011405888045548878,0.0101496259726325,0.0065891918058617,0.15574321471462751
7,0.20869265798427572,0.0047220318981339125,0.008927554919013272,0.06664011115914859,0.22071287529199912,0.008391850122791663,0.01744911938357999,0.03625569978526688,0.34017040686864375,0.0034436165360857366,0.00427897844993042,0.008987385126797873,0.029258642956277094,0.03314953218711701,0.008919537330938913
8,0.08810238160198017,0.0027388208475585987,0.2939483037966861,0.08194778329975683,0.0034973157502048847,0.002146592672119791,0.0021703104921491625,0.012656897930277376,0.4489884789271813,0.0030395129761960943,0.0016820897125651734,0.04523534595912636,0.0020181001666700147,0.006667582944332532,0.005160482923195819
9,0.10446395485787552,0.0023039009534394587,0.355660447942246,0.00875424365712249,0.10796622125387245,0.005022854656490155,0.012970881245654708,0.1301769381905148,0.011668315057578253,0.005376620874055708,0.07871923693329032,0.01239244763358348,0.02200600046009661,0.025607317509163584,0.11691061877501638
10,0.06188477725147898,0.038319667767505575,0.013048271803853635,0.06897946245725152,0.006392815987489201,0.004349429842738646,0.0036031746697323653,0.12299377157203643,0.00551606335496103,0.05324169997958952,0.0034403216181048022,0.004712549514778186,0.0018855591657142025,0.018032936381637048,0.5935994986331289
11,0.03633282244513179,0.003978871307899028,0.002353810351242949,0.03143037474556181,0.4057011853066607,0.035895212995952004,0.1819441246038556,0.024566594901299508,0.17815381968056643,0.004021679298277793,0.017333460205900077,0.0056694163673689174,0.04272421774804292,0.013581359595720068,0.016313050446520563
12,0.0339947578123233,0.011451767475937456,0.3458616335812777,0.0037961567636657654,0.057636717407499004,0.0038908165720396184,0.03381167692879407,0.07000251256180277,0.010137601401960883,0.11461386147592931,0.003824910542871672,0.15782863716021808,0.0046206200782346486,0.1368052306769412,0.011723099560504657
13,0.019765063376267274,0.02327431905430292,0.002225238431929024,0.5392258747575118,0.0022870778273831657,0.002288752556480318,0.07539596580106887,0.0021603953635759474,0.17561034211975626,0.0017588602824190308,0.009032608873209494,0.003973438702007132,0.0022849571684498823,0.019200416058864113,0.12151668962677478
14,0.3308611496533964,0.007436504687668304,0.12634946311225487,0.032924607834741916,0.004466952033050339,0.07779583744223492,0.005143344427519086,0.003541615482311727,0.003752151100028031,0.04526666842143381,0.003989472791196026,0.0031295658106427933,0.002865808569666213,0.0056227103495308265,0.3468541482843247
15,0.06323691463632547,0.006123494846668477,0.028722058131442296,0.012324317045317957,0.003884238627066178,0.0027196848002177384,0.12951101377607177,0.4137923875046606,0.0026211165890129423,0.005254230348827301,0.25456514939326963,0.05356135000033246,0.006425186752978702,0.005924898151315235,0.01133395939649309
16,0.11210034702353064,0.0018824070328416394,0.013187260039775753,0.0035653465143741757,0.002753293671518317,0.0029392759595919245,0.004332559857222858,0.09181809045455436,0.06794547265268336,0.005468524064344577,0.0020592350284174476,0.008429459188011197,0.006161623865791173,0.0023719449765531343,0.6749851596707895
17,0.00445568414696581,0.007637979755384327,0.0031818162427385633,0.0028564307042927475,0.030481677991524753,0.0032673969531403437,0.008387545287868529,0.0036128017103964345,0.7368732700582035,0.02337828288102565,0.005745723646993757,0.03884370220331759,0.0063074007125201725,0.0769903299068733,0.04797995779875441
18,0.22239631321358797,0.0024828613937001556,0.007575049163604915,0.12390954926313139,0.002496424064149693,0.008382084874251662,0.004748111269169913,0.007715691689346819,0.5397818260806474,0.014531098437035797,0.018626138288752467,0.008288260734880573,0.01892521433221535,0.011841937490124325,0.008299439705401484
19,0.48687185910648934,0.0031437236266726614,0.048770887132455615,0.0057327976013039905,0.004464025647334771,0.05330042646655106,0.017419979447108828,0.10285248059281624,0.08381260135753271,0.009308576758376094,0.05339167370126114,0.015171912517753636,0.019158862840136355,0.049014072616149415,0.04758612058805815
20,0.02802497747420307,0.019894758296744017,0.004365935031526056,0.03591743616966941,0.07431876428151904,0.42678134296467485,0.01253695086920976,0.040564458992172904,0.2612315818211481,0.004969657538456337,0.027651490654865083,0.013259674769808176,0.012932499643749285,0.022782480786859266,0.014767990705394675
21,0.09967767555726494,0.002141892680543701,0.02759021763725517,0.15416295539205302,0.00570387254201335,0.022099437334533793,0.05922540556166469,0.018881970106168357,0.09117474458574955,0.0032919345919627525,0.024206062203597438,0.002348942939281868,0.37458366984950175,0.10401053746871561,0.010900681549694008
