,no_overall,season,no_in_season,episode_name,viewers (millions),IMDB rating,year,month,day,wiki_link
414,415,19,15,Smoke on the Daughter,7.1,6.6,2008,03,30,Smoke_on_the_Daughter
415,416,19,16,Papa Don't Leech,6.9,5.9,2008,04,13,Papa_Don%27t_Leech
416,417,19,17,Apocalypse Cow,7.69,6.7,2008,04,27,Apocalypse_Cow
417,418,19,18,Any Given Sundance,6.18,6.9,2008,05,04,Any_Given_Sundance
418,419,19,19,Mona Leaves-a,6.02,7.0,2008,05,11,Mona_Leaves-a
419,420,19,20,All About Lisa,6.11,6.3,2008,05,18,All_About_Lisa
420,421,20,1,"Sex, Pies and Idiot Scrapes",9.3,7.2,2008,09,28,"Sex,_Pies,_and_Idiot_Scrapes"
421,422,20,2,Lost Verizon,7.43,6.9,2008,10,05,Lost_Verizon
422,423,20,3,"Double, Double, Boy in Trouble",8.09,6.8,2008,10,19,"Double,_Double,_Boy_in_Trouble"
423,424,20,4,Treehouse of Horror XIX,12.48,7.0,2008,11,02,Treehouse_of_Horror_XIX
424,425,20,5,Dangerous Curves,8.16,6.5,2008,11,09,Dangerous_Curves
425,426,20,6,Homer and Lisa Exchange Cross Words,8.52,7.0,2008,11,16,Homer_and_Lisa_Exchange_Cross_Words
426,427,20,7,MyPods and Boomsticks,7.8,7.0,2008,11,30,Mypods_and_Boomsticks
427,428,20,8,The Burns and the Bees,6.19,6.5,2008,12,07,The_Burns_and_the_Bees
428,429,20,9,Lisa the Drama Queen,5.75,5.8,2009,01,25,Lisa_the_Drama_Queen
429,430,20,10,"Take My Life, Please",6.82,6.9,2009,02,15,"Take_My_Life,_Please"
430,431,20,11,How the Test Was Won,6.52,6.9,2009,03,01,How_the_Test_Was_Won
431,432,20,12,"No Loan Again, Naturally",5.99,6.7,2009,03,08,"No_Loan_Again,_Naturally"
432,433,20,13,Gone Maggie Gone,5.99,7.1,2009,03,15,Gone_Maggie_Gone
433,434,20,14,In the Name of the Grandfather,6.15,6.2,2009,03,22[a],In_the_Name_of_the_Grandfather
434,435,20,15,Wedding for Disaster,6.58,6.6,2009,03,29,Wedding_for_Disaster
435,436,20,16,Eeny Teeny Maya Moe,6.5,7.1,2009,04,05,"Eeny_Teeny_Maya,_Moe"
436,437,20,17,"The Good, the Sad and the Drugly",6.5,7.1,2009,04,19,"The_Good,_the_Sad_and_the_Drugly"
437,438,20,18,Father Knows Worst,5.94,6.9,2009,04,26,Father_Knows_Worst
438,439,20,19,"Waverly Hills, 9-0-2-1-D'oh",6.75,7.0,2009,05,03,"Waverly_Hills,_9-0-2-1-D%27oh"
439,440,20,20,Four Great Women and a Manicure,5.16,6.3,2009,05,10,Four_Great_Women_and_a_Manicure
440,441,20,21,Coming to Homerica,5.86,7.2,2009,05,17,Coming_to_Homerica
441,442,21,1,Homer the Whopper,8.31,7.0,2009,09,27,Homer_the_Whopper
442,443,21,2,Bart Gets a 'Z',9.32,6.5,2009,10,04,Bart_Gets_a_%22Z%22
443,444,21,3,The Great Wife Hope,7.5,6.1,2009,10,11,The_Great_Wife_Hope
444,445,21,4,Treehouse of Horror XX,8.59,7.3,2009,10,18,Treehouse_of_Horror_XX
445,446,21,5,The Devil Wears Nada,9.04,6.6,2009,11,15,The_Devil_Wears_Nada
446,447,21,6,Pranks and Greens,7.03,6.6,2009,11,22,Pranks_and_Greens
447,448,21,7,Rednecks and Broomsticks,9.02,6.7,2009,11,29,Rednecks_and_Broomsticks
448,449,21,8,"O Brother, Where Bart Thou?",7.11,7.1,2009,12,13,"O_Brother,_Where_Bart_Thou%3F"
449,450,21,9,Thursdays with Abie,8.65,6.6,2010,01,03,Thursdays_with_Abie
450,451,21,10,Once Upon a Time in Springfield,14.62,6.4,2010,01,10,Once_Upon_a_Time_in_Springfield
451,452,21,11,Million Dollar Maybe,5.11,7.0,2010,01,31,Million_Dollar_Maybe
452,453,21,12,Boy Meets Curl,5.87,6.7,2010,02,14,Boy_Meets_Curl
453,454,21,13,The Color Yellow,6.08,6.3,2010,02,21,The_Color_Yellow
454,455,21,14,Postcards from the Wedge,5.23,6.9,2010,03,14,Postcards_From_the_Wedge
455,456,21,15,Stealing First Base,5.69,6.9,2010,03,21,Stealing_First_Base
456,457,21,16,The Greatest Story Ever D'ohed,5.69,5.6,2010,03,28,The_Greatest_Story_Ever_D%27ohed
457,458,21,17,American History X-cellent,5.65,6.5,2010,04,11,American_History_X-cellent
458,459,21,18,Chief of Hearts,5.93,6.8,2010,04,18,Chief_of_Hearts
459,460,21,19,The Squirt and the Whale,5.94,6.8,2010,04,25,The_Squirt_and_the_Whale
460,461,21,20,To Surveil with Love,6.06,7.1,2010,05,02,To_Surveil_With_Love
461,462,21,21,Moe Letter Blues,5.66,6.8,2010,05,09,Moe_Letter_Blues
462,463,21,22,The Bob Next Door,6.26,7.2,2010,05,16,The_Bob_Next_Door
463,464,21,23,Judge Me Tender,5.74,6.4,2010,05,23,Judge_Me_Tender
464,465,22,1,Elementary School Musical,7.75,6.0,2010,09,26,Elementary_School_Musical
465,466,22,2,Loan-a Lisa,8.59,6.7,2010,10,03,Loan-a_Lisa
466,467,22,3,MoneyBart,6.72,6.6,2010,10,10,MoneyBART
467,468,22,4,Treehouse of Horror XXI,8.19,7.0,2010,11,07,Treehouse_of_Horror_XXI
468,469,22,5,"Lisa Simpson, This Isn't Your Life",8.97,7.1,2010,11,14,"Lisa_Simpson,_This_Isn%27t_Your_Life"
469,470,22,6,The Fool Monty,6.58,6.3,2010,11,21,The_Fool_Monty
470,471,22,7,How Munched Is That Birdie in the Window?,9.38,6.2,2010,11,28,How_Munched_is_That_Birdie_in_the_Window%3F
471,472,22,8,The Fight Before Christmas,9.54,6.7,2010,12,05,The_Fight_Before_Christmas
472,473,22,9,Donnie Fatso,7.18,6.9,2010,12,12,Donnie_Fatso
473,474,22,10,Moms I'd Like to Forget,12.6,6.1,2011,01,09,Moms_I%27d_Like_to_Forget
474,475,22,11,Flaming Moe,6.47,6.6,2011,01,16,Flaming_Moe
475,476,22,12,Homer the Father,6.5,6.8,2011,01,23,Homer_the_Father
476,477,22,13,The Blue and the Gray,5.61,6.7,2011,02,13,The_Blue_and_the_Gray
477,478,22,14,Angry Dad: The Movie,6.35,7.1,2011,02,20,Angry_Dad:_The_Movie
478,479,22,15,The Scorpion's Tale,6.2,6.6,2011,03,06,The_Scorpion%27s_Tale
479,480,22,16,A Midsummer's Nice Dream,5.44,5.9,2011,03,13,A_Midsummer%27s_Nice_Dream
480,481,22,17,Love Is a Many Strangled Thing,6.14,6.1,2011,03,27,Love_is_a_Many_Strangled_Thing
481,482,22,18,The Great Simpsina,5.0,6.8,2011,04,10,The_Great_Simpsina
482,483,22,19,The Real Housewives of Fat Tony,6.1,6.4,2011,05,01,The_Real_Housewives_of_Fat_Tony
483,484,22,20,Homer Scissorhands,5.48,7.0,2011,05,08,Homer_Scissorhands
484,485,22,21,500 Keys,6.0,7.1,2011,05,15,500_Keys
485,486,22,22,The Ned-Liest Catch,5.25,6.8,2011,05,22,The_Ned-liest_Catch
486,487,23,1,The Falcon and the D'ohman,8.08,7.0,2011,09,25,The_Falcon_and_the_D%27ohman
487,488,23,2,Bart Stops to Smell the Roosevelts,6.19,7.0,2011,10,02,Bart_Stops_to_Smell_the_Roosevelts
488,489,23,3,Treehouse of Horror XXII,8.1,6.4,2011,10,30,Treehouse_of_Horror_XXII
489,490,23,4,Replaceable You,7.97,6.4,2011,11,06,Replaceable_You
490,491,23,5,The Food Wife,7.5,7.0,2011,11,13,The_Food_Wife
491,492,23,6,The Book Job,5.77,7.9,2011,11,20,The_Book_Job
492,493,23,7,The Man in the Blue Flannel Pants,5.61,6.6,2011,11,27,The_Man_in_the_Blue_Flannel_Pants
493,494,23,8,The Ten-Per-Cent Solution,9.01,6.0,2011,12,04,The_Ten-Per-Cent_Solution
494,495,23,9,Holidays of Future Passed,6.43,8.2,2011,12,11,Holidays_of_Future_Passed
495,496,23,10,"Politically Inept, with Homer Simpson",5.07,5.9,2012,01,08,"Politically_Inept,_with_Homer_Simpson"
496,497,23,11,The D'oh-cial Network,11.48,6.9,2012,01,15,The_D%27oh-cial_Network
497,498,23,12,Moe Goes from Rags to Riches,5.12,5.5,2012,01,29,Moe_Goes_from_Rags_to_Riches
498,499,23,13,The Daughter Also Rises,4.26,6.2,2012,02,12,The_Daughter_Also_Rises
499,500,23,14,At Long Last Leave,5.77,6.9,2012,02,19,At_Long_Last_Leave
500,501,23,15,Exit Through the Kwik-E-Mart,5.09,6.8,2012,03,04,Exit_Through_the_Kwik-E-Mart
501,502,23,16,How I Wet Your Mother,4.97,7.2,2012,03,11,How_I_Wet_Your_Mother
502,503,23,17,"Them, Robot",5.25,6.9,2012,03,18,"Them,_Robot"
503,504,23,18,Beware My Cheating Bart,4.86,7.0,2012,04,15,Beware_My_Cheating_Bart
504,505,23,19,A Totally Fun Thing That Bart Will Never Do Again,5.0,7.5,2012,04,29,A_Totally_Fun_Thing_That_Bart_Will_Never_Do_Again
505,506,23,20,The Spy Who Learned Me,4.84,6.7,2012,05,06,The_Spy_Who_Learned_Me
506,507,23,21,Ned 'n' Edna's Blend Agenda,4.07,6.5,2012,05,13,Ned_%27N_Edna%27s_Blend
507,508,23,22,Lisa Goes Gaga,4.82,3.9,2012,05,20,Lisa_Goes_Gaga
508,509,24,1,Moonshine River,8.08,6.3,2012,09,30,Moonshine_River
509,510,24,2,Treehouse of Horror XXIII,6.57,7.2,2012,10,07,Treehouse_of_Horror_XXIII
510,511,24,3,Adventures in Baby-Getting,5.65,6.7,2012,11,04,Adventures_in_Baby-Getting
511,512,24,4,Gone Abie Gone,6.86,6.6,2012,11,11,Gone_Abie_Gone
512,513,24,5,Penny-Wiseguys,5.06,6.1,2012,11,18,Penny-Wiseguys
513,514,24,6,A Tree Grows in Springfield,7.46,6.2,2012,11,25,A_Tree_Grows_in_Springfield
514,515,24,7,The Day the Earth Stood Cool,7.44,6.9,2012,12,09,The_Day_the_Earth_Stood_Cool
515,516,24,8,To Cur with Love,3.77,7.1,2012,12,16,"To_Cur,_with_Love"
516,517,24,9,Homer Goes to Prep School,8.97,6.6,2013,01,06,Homer_Goes_to_Prep_School
517,518,24,10,A Test Before Trying,5.04,6.9,2013,01,13,A_Test_Before_Trying
518,519,24,11,The Changing of the Guardian,5.23,6.3,2013,01,27,Changing_of_the_Guardian
519,520,24,12,Love Is a Many-Splintered Thing,4.19,6.1,2013,02,10,Love_is_a_Many-Splintered_Thing
520,521,24,13,Hardly Kirk-ing,4.57,6.9,2013,02,17,Hardly_Kirk-ing
521,522,24,14,Gorgeous Grampa,4.66,6.0,2013,03,03,Gorgeous_Grampa
522,523,24,15,"Black Eyed, Please",4.85,6.8,2013,03,10,"Black-Eyed,_Please"
523,524,24,16,Dark Knight Court,4.89,6.9,2013,03,17,Dark_Knight_Court
524,525,24,17,What Animated Women Want,4.11,6.3,2013,04,14,What_Animated_Women_Want
525,526,24,18,Pulpit Friction,4.54,6.3,2013,04,28,Pulpit_Friction
526,527,24,19,Whiskey Business,4.43,6.6,2013,05,05,Whiskey_Business
527,528,24,20,The Fabulous Faker Boy,4.16,6.1,2013,05,12,The_Fabulous_Faker_Boy
528,529,24,21,The Saga of Carl,4.01,6.9,2013,05,19,The_Saga_of_Carl
529,530,24,22,Dangers on a Train,4.52,6.7,2013,05,19,Dangers_on_a_Train
530,531,25,1,Homerland,6.37,6.8,2013,09,29,Homerland
531,532,25,2,Treehouse of Horror XXIV,6.42,6.9,2013,10,06,Treehouse_of_Horror_XXIV
532,533,25,3,Four Regrettings and a Funeral,5.43,6.3,2013,11,03,Four_Regrettings_and_a_Funeral
533,534,25,4,YOLO,4.2,6.4,2013,11,10,Yolo
534,535,25,5,Labor Pains,4.08,6.8,2013,11,17,Labor_Pains
535,536,25,6,The Kid Is All Right,6.78,6.3,2013,11,24,The_Kid_is_All_Right
536,537,25,7,Yellow Subterfuge,6.85,6.7,2013,12,08,Yellow_Subterfuge
537,538,25,8,White Christmas Blues,8.48,6.3,2013,12,15,White_Christmas_Blues
538,539,25,9,Steal This Episode,12.04,7.6,2014,01,05,Steal_This_Episode
539,540,25,10,Married to the Blob,4.83,6.9,2014,01,12,Married_to_the_Blob
540,541,25,11,Specs and the City,3.87,7.0,2014,01,26,Specs_and_the_City
541,542,25,12,Diggs,2.69,6.2,2014,03,09,Diggs
542,543,25,13,The Man Who Grew Too Much,3.75,6.5,2014,03,09,The_Man_Who_Grew_Too_Much
543,544,25,14,The Winter of His Content,4.02,6.5,2014,03,16,The_Winter_of_His_Content
544,545,25,15,The War of Art,3.98,6.8,2014,03,23,The_War_of_Art
545,546,25,16,You Don't Have to Live Like a Referee,3.91,6.7,2014,03,30,You_Don%27t_Have_to_Live_Like_a_Referee
546,547,25,17,Luca$,4.3,6.3,2014,04,06,Luca$
547,548,25,18,Days of Future Future,3.64,6.8,2014,04,13,Days_of_Future_Future
548,549,25,19,What to Expect When Bart's Expecting,3.45,5.6,2014,04,27,What_to_Expect_When_Bart%27s_Expecting
549,550,25,20,Brick Like Me,4.39,7.8,2014,05,04,Brick_Like_Me
550,551,25,21,Pay Pal,3.66,6.5,2014,05,11,Pay_Pal
551,552,25,22,The Yellow Badge of Cowardge,3.28,6.5,2014,05,18,The_Yellow_Badge_of_Cowardge
552,553,26,1,Clown in the Dumps,8.53,5.6,2014,09,28,Clown_in_the_Dumps
553,554,26,2,The Wreck of the Relationship,4.27,6.8,2014,10,05,The_Wreck_of_the_Relationship
554,555,26,3,Super Franchise Me,7.33,6.3,2014,10,12,Super_Franchise_Me
555,556,26,4,Treehouse of Horror XXV,7.76,7.4,2014,10,19,Treehouse_of_Horror_XXV
556,557,26,5,Opposites A-Frack,4.22,6.1,2014,11,02,Opposites_A-Frack
557,558,26,6,Simpsorama,6.7,7.9,2014,11,09,Simpsorama
558,559,26,7,Blazed and Confused,6.7,6.7,2014,11,16,Blazed_and_Confused
559,560,26,8,Covercraft,3.45,6.3,2014,11,23,Covercraft
560,561,26,9,I Won't Be Home for Christmas,6.52,6.6,2014,12,07,I_Won%27t_Be_Home_for_Christmas
561,562,26,10,The Man Who Came to Be Dinner,10.62,6.6,2015,01,04,The_Man_Who_Came_to_Be_Dinner
562,563,26,11,Bart's New Friend,4.28,7.1,2015,01,11,Bart%27s_New_Friend
563,564,26,12,The Musk Who Fell to Earth,3.29,5.6,2015,01,25,The_Musk_Who_Fell_To_Earth
564,565,26,13,Walking Big & Tall,2.78,6.1,2015,02,08,Walking_Big_%26_Tall
565,566,26,14,My Fare Lady,2.67,6.5,2015,02,15,My_Fare_Lady
566,567,26,15,The Princess Guide,3.93,6.4,2015,03,01,The_Princess_Guide
567,568,26,16,Sky Police,3.79,6.6,2015,03,08,Sky_Police
568,569,26,17,Waiting for Duffman,3.59,6.5,2015,03,15,Waiting_for_Duffman
569,570,26,18,Peeping Mom,3.23,6.5,2015,04,19,Peeping_Mom
570,571,26,19,The Kids Are All Fight,3.33,6.7,2015,04,26,The_Kids_Are_All_Fight
571,572,26,20,Let's Go Fly a Coot,3.12,5.9,2015,05,03,Let%27s_Go_Fly_a_Coot
572,573,26,21,Bull-E,2.77,6.5,2015,05,10,Bull-E
573,574,26,22,Mathlete's Feat,2.82,6.7,2015,05,17,Mathlete%27s_Feat
574,575,27,1,Every Man's Dream,3.28,5.5,2015,09,27,Every_Man%27s_Dream
575,576,27,2,Cue Detective,6.02,6.6,2015,10,04,Cue_Detective
576,577,27,3,Puffless,3.31,7.0,2015,10,11,Puffless
577,578,27,4,Halloween of Horror,3.69,7.5,2015,10,18,Halloween_of_Horror
578,579,27,5,Treehouse of Horror XXVI,6.75,6.6,2015,10,25,Treehouse_of_Horror_XXVI
579,580,27,6,Friend with Benefit,3.48,6.6,2015,11,08,Friend_with_Benefit
580,581,27,7,Lisa with an 'S',5.64,5.9,2015,11,22,Lisa_with_an_%22S%22
581,582,27,8,Paths of Glory,5.53,6.8,2015,12,06,Paths_of_Glory
582,583,27,9,Barthood,5.97,8.4,2015,12,13,Barthood
583,584,27,10,The Girl Code,4.41,6.5,2016,01,03,The_Girl_Code
584,585,27,11,Teenage Mutant Milk-Caused Hurdles,8.33,6.5,2016,01,10,Teenage_Mutant_Milk-caused_Hurdles
585,586,27,12,Much Apu About Something,3.95,6.6,2016,01,17,Much_Apu_About_Something
586,587,27,13,Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,2.89,6.3,2016,02,14,Love_is_in_the_N2-O2-Ar-CO2-Ne-He-CH4
587,588,27,14,Gal of Constant Sorrow,3.1,6.5,2016,02,21,Gal_of_Constant_Sorrow
588,589,27,15,Lisa the Veterinarian,3.09,6.3,2016,03,06,Lisa_the_Veterinarian
589,590,27,16,The Marge-ian Chronicles,3.07,7.0,2016,03,13,The_Marge-ian_Chronicles
590,591,27,17,The Burns Cage,2.32,6.3,2016,04,03,The_Burns_Cage
591,592,27,18,How Lisa Got Her Marge Back,2.55,6.2,2016,04,10,How_Lisa_Got_Her_Marge_Back
592,593,27,19,Fland Canyon,2.77,7.1,2016,04,24,Fland_Canyon
593,594,27,20,To Courier with Love,2.52,6.6,2016,05,08,To_Courier_with_Love
594,595,27,21,Simprovised,2.8,6.2,2016,05,15,Simprovised
595,596,27,22,Orange Is the New Yellow,2.54,6.7,2016,05,22,Orange_is_the_New_Yellow
596,597,28,1,Monty Burns' Fleeing Circus,3.36,6.0,2016,09,25,Monty_Burns%27_Fleeing_Circus
597,598,28,2,Friends and Family,6.0,6.5,2016,10,02,Friends_and_Family
598,599,28,3,The Town,3.22,7.0,2016,10,09,The_Town
599,600,28,4,Treehouse of Horror XXVII,7.44,6.9,2016,10,16,Treehouse_of_Horror_XXVII
600,601,28,5,Trust but Clarify,3.36,6.3,2016,10,23,Trust_But_Clarify
601,602,28,6,There Will Be Buds,3.14,6.7,2016,11,06,There_Will_Be_Buds
602,603,28,7,Havana Wild Weekend,7.13,6.1,2016,11,13,Havana_Wild_Weekend
603,604,28,8,Dad Behavior,2.88,6.6,2016,11,20,Dad_Behavior
604,605,28,9,The Last Traction Hero,5.77,6.3,2016,12,04,The_Last_Traction_Hero
605,606,28,10,The Nightmare After Krustmas,5.6,5.9,2016,12,11,The_Nightmare_After_Krustmas
606,607,28,11,Pork and Burns,8.19,6.8,2017,01,08,Pork_and_Burns
607,610,28,14,Fatzcarraldo,2.4,6.3,2017,02,12,Fatzcarraldo
608,608,28,12,The Great Phatsby,6.9,6.2,2017,01,15,The_Great_Phatsby
609,609,28,13,The Great Phatsby,6.9,6.2,2017,01,15,The_Great_Phatsby
610,611,28,15,The Cad and the Hat,2.44,6.4,2017,02,19,The_Cad_and_the_Hat
611,612,28,16,Kamp Krustier,2.56,6.5,2017,03,05,Kamp_Krustier
612,613,28,17,22 for 30,2.61,6.5,2017,03,12,22_For_30
613,614,28,18,A Father's Watch,2.4,6.8,2017,03,19,A_Father%27s_Watch
614,615,28,19,The Caper Chase,2.13,6.1,2017,04,02,The_Caper_Chase
615,616,28,20,Looking for Mr. Goodbart,2.3,6.8,2017,04,30,Looking_for_Mr._Goodbart
616,617,28,21,Moho House,2.34,6.1,2017,05,07,Moho_House
617,618,28,22,Dogtown,2.15,6.4,2017,05,21,Dogtown
618,619,29,1,The Serfsons,3.26,6.7,2017,10,01,The_Serfsons
619,620,29,2,Springfield Splendor,5.25,6.5,2017,10,08,Springfield_Splendor
620,621,29,3,Whistler's Father,2.91,6.1,2017,10,15,Whistler%27s_Father
621,622,29,4,Treehouse of Horror XXVIII,3.66,7.1,2017,10,22,Treehouse_of_Horror_XXVIII
622,623,29,5,Grampy Can Ya Hear Me,2.86,6.3,2017,11,05,Grampy_Can_Ya_Hear_Me
623,624,29,6,The Old Blue Mayor She Ain't What She Used to Be,4.75,6.3,2017,11,12,The_Old_Blue_Mayor_She_Ain%27t_What_She_Used_to_Be
624,625,29,7,Singin' in the Lane,2.67,6.3,2017,11,19,Singin%27_in_the_Lane
625,626,29,8,Mr. Lisa's Opus,4.28,6.8,2017,12,03,Mr._Lisa%27s_Opus
626,627,29,9,Gone Boy,6.06,7.3,2017,12,10,Gone_Boy
627,628,29,10,Haw-Haw Land,6.95,6.5,2018,01,07,Haw-Haw_Land
628,629,29,11,Frink Gets Testy,8.04,6.1,2018,01,14,Frink_Gets_Testy
629,630,29,12,Homer Is Where the Art Isn't,2.1,6.6,2018,03,18,Homer_Is_Where_the_Art_Isn%27t
630,631,29,13,3 Scenes Plus a Tag from a Marriage,2.15,6.6,2018,03,25,3_Scenes_Plus_a_Tag_from_a_Marriage
631,632,29,14,Fears of a Clown,2.06,6.1,2018,04,01,Fears_of_a_Clown
632,633,29,15,No Good Read Goes Unpunished,2.15,6.4,2018,04,08,No_Good_Read_Goes_Unpunished
633,634,29,16,King Leer,2.26,6.3,2018,04,15,King_Leer
634,635,29,17,Lisa Gets the Blues,2.19,6.8,2018,04,22,Lisa_Gets_the_Blues
635,636,29,18,Forgive and Regret,2.47,7.0,2018,04,29,Forgive_and_Regret
636,637,29,19,Left Behind,2.15,6.6,2018,05,06,Left_Behind
637,638,29,20,Throw Grampa from the Dane,2.14,6.7,2018,05,13,Throw_Grampa_from_the_Dane
638,639,29,21,Flanders' Ladder,2.1,7.6,2018,05,20,Flanders%27_Ladder
639,640,30,1,Bart's Not Dead,3.24,6.2,2018,09,30,Bart%27s_Not_Dead
640,641,30,2,Heartbreak Hotel,4.6,6.0,2018,10,07,Heartbreak_Hotel
641,642,30,3,My Way or the Highway to Heaven,2.52,6.1,2018,10,14,My_Way_or_the_Highway_to_Heaven
642,643,30,4,Treehouse of Horror XXIX,2.95,5.9,2018,10,21,Treehouse_of_Horror_XXIX
643,644,30,5,Baby You Can't Drive My Car,5.08,7.0,2018,11,04,Baby_You_Can%27t_Drive_My_Car
644,645,30,6,From Russia Without Love,2.35,6.5,2018,11,11,From_Russia_Without_Love
645,646,30,7,Werking Mom,4.34,5.6,2018,11,18,Werking_Mom
646,647,30,8,Krusty the Clown,2.11,6.4,2018,11,25,Krusty_the_Clown_(episode)
647,648,30,9,Daddicus Finch,4.33,6.7,2018,12,02,Daddicus_Finch
648,649,30,10,'Tis the 30th Season,7.53,6.7,2018,12,09,%27Tis_the_30th_Season
649,650,30,11,Mad About the Toy,2.33,5.4,2019,01,06,Mad_About_the_Toy
650,651,30,12,The Girl on the Bus,8.2,6.2,2019,01,13,The_Girl_on_The_Bus
651,652,30,13,I'm Dancing as Fat as I Can,1.75,6.8,2019,02,10,I%27m_Dancing_As_Fat_As_I_Can
652,653,30,14,The Clown Stays in the Picture,2.75,6.1,2019,02,17,The_Clown_Stays_in_the_Picture
653,654,30,15,101 Mitigations,2.25,6.3,2019,03,03,101_Mitigations
654,655,30,16,I Want You (She's So Heavy),2.21,5.7,2019,03,10,I_Want_You_(She%27s_So_Heavy)
655,656,30,17,E My Sports,2.08,6.2,2019,03,17,E_My_Sports
656,657,30,18,Bart vs. Itchy & Scratchy,1.99,4.5,2019,03,24,Bart_vs._Itchy_%26_Scratchy
657,658,30,19,Girl's in the Band,2.07,6.1,2019,03,31,Girl%27s_in_the_Band
658,659,30,20,I'm Just a Girl Who Can't Say D'oh,1.61,5.2,2019,04,07,I%27m_Just_a_Girl_Who_Can%27t_Say_D%27oh
659,660,30,21,D'oh Canada,1.93,5.2,2019,04,28,D%27oh_Canada
660,661,30,22,Woo-Hoo Dunnit?,1.79,5.9,2019,05,05,Woo-hoo_Dunnit%3F
661,662,30,23,Crystal Blue-Haired Persuasion,1.5,5.8,2019,05,12,Crystal_Blue-Haired_Persuasion
