,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6
0,0.0852569105795927,0.014715524723502965,0.11515655174563642,0.6633836361663896,0.11892475008209127,0.0025626267027869243
1,0.24706517179716675,0.00495198310505668,0.07808206078165073,0.027393493798858155,0.6393299408057107,0.0031773497115569205
2,0.09560342031865723,0.055851908290077974,0.537906405336516,0.014407473811482665,0.2258433769249648,0.07038741531830128
3,0.2242183829873401,0.3606833790531875,0.33298129508883545,0.0052932803338572015,0.05544827359683432,0.021375388939945457
4,0.42101082106325194,0.0060919374961378465,0.008615143625438077,0.006369406593752944,0.4849798872395582,0.07293280398186097
5,0.7125847999828153,0.13001527853259187,0.012151854275562951,0.021347693337562722,0.11852607476768758,0.0053742991037795534
6,0.15265815593347593,0.13626742546640663,0.1400841130865495,0.005024574479623417,0.29652357050901085,0.2694421605249336
7,0.5821692188045924,0.008076943024615126,0.13231470345691582,0.0717768274599397,0.0363021231423627,0.16936018411157427
8,0.9086909120683718,0.06538897435381465,0.0032198327148784743,0.006919867980695939,0.01057026470488027,0.005210148177358846
9,0.19851190278796021,0.5245761135926962,0.05187152275000233,0.1811810825071736,0.0034300185923455554,0.04042935976982205
10,0.060229104389707244,0.2805845610776989,0.33680229795373495,0.003950517057075044,0.2654833168702749,0.052950202651509015
11,0.34791563558624233,0.0033482717829721505,0.20192989205201575,0.06030839805347627,0.006506485111270002,0.3799913174140236
12,0.04681632504937658,0.7295093672173774,0.025588727954653064,0.0064624410452540195,0.054547293341389184,0.13707584539194978
13,0.1252929560537599,0.006067231906966922,0.10498522580498913,0.012101867274645177,0.7474186772466446,0.004134041712994363
14,0.018059306190710965,0.5175935424856676,0.23505020581988006,0.004413593746432601,0.2201622662134187,0.004721085543890113
15,0.2418814184907183,0.26026424537848936,0.008868820874886487,0.02362695668538251,0.009262213017460703,0.4560963455530626
16,0.050869106011636175,0.1839112140919285,0.7419477879448511,0.004688680619187793,0.010054637682903997,0.0085285736494924
17,0.2701165293348855,0.0069626173531142825,0.6249427063188262,0.0035216764040593147,0.06874237347012344,0.025714097118991225
18,0.8599001097190396,0.004701340858206759,0.024960614800929006,0.018027855031758404,0.07480274242605696,0.017607337164009237
19,0.33409284606121836,0.4092869091631501,0.08957877539795468,0.14353945286858427,0.008481627146511912,0.015020389362580704
20,0.7468206548003825,0.009728007496533894,0.026665100830650774,0.010040363376984072,0.12935070857021966,0.07739516492522908
21,0.5100396932965322,0.005315327404257511,0.10784166733915018,0.2611194635883432,0.0033315878469022935,0.11235226052481462
22,0.45639432224458915,0.07962990198291324,0.23605832397894674,0.004298062208625509,0.1458909823040126,0.07772840728091271
