,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10
0,0.789700454130488,0.004217738606146769,0.0026399563667870544,0.13550117620850063,0.012645241330480516,0.0023566520533664327,0.0031527401517882974,0.03366644504244937,0.009218762398512059,0.006900833711480928
1,0.1123163088001928,0.007765259941852921,0.006830183199388874,0.772875889334626,0.008347946956605892,0.021665882361678223,0.01255700032998355,0.01413703030581731,0.025867653009250324,0.017636845760603998
2,0.013164371807741595,0.04284212231789597,0.029875806454213276,0.15495467808335772,0.02149764291949614,0.07954228543717254,0.14950193860947567,0.47230031448835197,0.007485767393034815,0.02883507248926025
3,0.03620868128857685,0.03295434921490184,0.20603258004575975,0.22915412324590342,0.20862559140181824,0.05224636178301115,0.03475186294786184,0.17515426279780924,0.016989414943567465,0.007882772330790145
4,0.08648015730573852,0.012802663380895352,0.0024123025717997823,0.5141754862693202,0.18606112125038649,0.12143749609740684,0.004171810204388687,0.058975762801462654,0.008954543375904142,0.004528656742697342
5,0.3854934112096898,0.01955835590157985,0.0397375776314156,0.24073306410026016,0.2512105954175314,0.005524014879048646,0.015253246349825028,0.017839009784101304,0.01097914217038667,0.013671582556161618
6,0.10746061916084261,0.18525590391432353,0.0063806506740709925,0.06195023775097423,0.2540762299235983,0.008746095103221099,0.05071959957737228,0.08033577034405556,0.23990406392387886,0.005170829627662549
7,0.16064003735797147,0.135821171320177,0.012416164773807555,0.38796450592147236,0.014732974691590597,0.028520549918724616,0.07671944037071035,0.005355611522042374,0.07443320218644706,0.1033963419370566
8,0.10666478069424931,0.0054058943021560325,0.06289007631194604,0.29116138390223645,0.5113198302029036,0.002976804859844552,0.0048567433343141885,0.003983206091851923,0.006052509006958481,0.00468877129353948
9,0.3450899531630355,0.007590831790806456,0.1912336786126481,0.004605403913173388,0.26832253571673453,0.0030211878769263924,0.008800936684271165,0.14750091705683177,0.017094892930501926,0.006739662255070833
10,0.00828929445975115,0.004539079900768304,0.0033078532112807337,0.012316635999100463,0.38162882800383124,0.0026925624536857365,0.01930007522899417,0.05129626331293847,0.5141784680143696,0.0024509394152801844
11,0.005818122110196035,0.053447536181144624,0.003206623210917289,0.06824383777010831,0.4379963356953995,0.028735580833463687,0.2917884337488836,0.006290372221347646,0.025409040493087894,0.07906411773545147
12,0.042867764642638403,0.014706115707925875,0.38952074139390186,0.007381662876494991,0.2574524570791518,0.023747796792963075,0.1107880836630363,0.08923264580506524,0.05891101979510093,0.005391712243721404
13,0.005206594879827005,0.018053607448234116,0.001889585214214806,0.6134409509285752,0.0588057532033812,0.2557906013918225,0.003027996257706854,0.021994286851794945,0.017905216608572624,0.003885407215870707
14,0.009230963167920202,0.012186713594140551,0.0373328136452209,0.003852199299612444,0.44297143816048384,0.02347692374750882,0.010785100782232148,0.40813628226762866,0.016808194231270324,0.035219371103982114
